time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
1612290989,66.0,175.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1612291365,57.0,160.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1612291502,58.25,160.0,22.7,30.6,49.5,2.3,1023.0,38.1,7.0,461
1612292712,66.0,175.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1612306607,88.7,183.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1612306638,88.7,183.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1612346547,66.1,175.0,21.5,16.4,57.3,2.8,1548.0,52.4,6.0,579
1612401776,75.0,183.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1612401825,77.6,183.0,23.1,22.3,53.2,3.0,1363.0,57.1,14.0,453
1612433051,66.1,175.0,21.5,16.3,57.4,2.8,1548.0,52.5,6.0,568
1612521139,65.75,175.0,21.4,16.2,57.4,2.8,1542.0,52.2,6.0,584
1612609174,65.5,175.0,21.3,16.0,57.5,2.7,1539.0,52.1,6.0,587
1612695065,65.75,175.0,21.4,16.2,57.4,2.8,1542.0,52.2,6.0,588
1612778837,65.15,175.0,21.2,15.7,57.8,2.7,1534.0,52.1,5.0,583
1612867059,65.95,175.0,21.5,16.0,57.5,2.8,1545.0,52.5,6.0,554
1612952761,65.95,175.0,21.5,16.0,57.5,2.8,1545.0,52.5,6.0,554
1613039663,65.35,175.0,21.3,15.9,57.6,2.7,1537.0,52.1,5.0,589
1613125447,65.75,175.0,21.4,16.3,57.3,2.7,1542.0,52.2,6.0,596
1613208809,66.0,175.0,21.5,16.3,57.3,2.8,1546.0,52.4,6.0,579
1613296114,64.95,175.0,21.2,15.3,58.0,2.7,1531.0,52.1,5.0,566
1613387392,65.95,175.0,21.5,16.1,57.5,2.8,1545.0,52.4,6.0,565
1613472307,64.4,175.0,21.0,15.2,58.1,2.7,1522.0,51.8,5.0,594
1613557647,65.7,175.0,21.4,15.9,57.6,2.8,1542.0,52.4,6.0,563
1613646577,65.15,175.0,21.2,15.5,57.9,2.7,1534.0,52.2,5.0,567
1613734742,65.55,175.0,21.4,15.8,57.7,2.8,1539.0,52.3,6.0,562
1613818258,65.8,175.0,21.4,16.2,57.4,2.8,1543.0,52.3,6.0,581
1613903263,65.6,175.0,21.4,16.2,57.4,2.7,1540.0,52.1,6.0,599
1613990841,65.6,175.0,21.4,15.8,57.7,2.8,1540.0,52.4,6.0,559
1614076512,65.75,175.0,21.4,15.8,57.7,2.8,1542.0,52.4,6.0,553
1614161565,65.75,175.0,21.4,16.0,57.6,2.8,1542.0,52.4,6.0,567
1614249063,66.0,175.0,21.5,16.3,57.4,2.8,1546.0,52.4,6.0,576
1614334800,65.35,175.0,21.3,16.0,57.5,2.7,1537.0,52.0,5.0,601
1614424710,65.55,175.0,21.4,16.0,57.5,2.7,1539.0,52.2,6.0,588
1614510646,64.95,175.0,21.2,15.3,58.0,2.7,1531.0,52.1,5.0,567
1614596140,65.8,175.0,21.4,16.2,57.4,2.8,1543.0,52.2,6.0,587
1614680918,65.1,175.0,21.2,15.5,57.9,2.7,1533.0,52.1,5.0,572
1614772169,65.2,175.0,21.2,15.7,57.7,2.7,1534.0,52.1,5.0,584
1614854430,64.8,175.0,21.1,15.4,58.0,2.7,1528.0,52.0,5.0,583
1614941869,64.95,175.0,21.2,15.5,57.9,2.7,1531.0,52.0,5.0,586
1615027934,65.5,175.0,21.3,15.8,57.7,2.8,1539.0,52.3,6.0,565
1615113278,64.8,175.0,21.1,15.8,57.7,2.7,1528.0,51.7,5.0,621
1615200330,64.65,175.0,21.1,15.4,58.0,2.7,1526.0,51.9,5.0,593
1615283103,64.75,175.0,21.1,15.3,58.0,2.7,1528.0,52.0,5.0,579
1615373105,65.15,175.0,21.2,15.5,57.9,2.7,1534.0,52.2,5.0,567
1615458054,65.35,175.0,21.3,15.6,57.8,2.8,1537.0,52.2,5.0,565
1615545074,65.45,175.0,21.3,15.9,57.6,2.7,1538.0,52.2,6.0,581
1615632317,65.3,175.0,21.3,15.7,57.8,2.7,1536.0,52.2,5.0,574
1615719019,65.15,175.0,21.2,15.6,57.8,2.7,1534.0,52.1,5.0,576
1615804947,65.15,175.0,21.2,15.8,57.7,2.7,1534.0,52.0,5.0,594
1615891949,65.35,175.0,21.3,15.8,57.7,2.7,1537.0,52.1,5.0,582
1615942074,77.5,183.0,23.1,22.1,53.4,3.0,1362.0,57.2,14.0,434
1615977360,64.95,175.0,21.2,15.6,57.8,2.7,1531.0,51.9,5.0,596
1616063878,64.3,175.0,20.9,15.4,57.9,2.7,1521.0,51.5,5.0,625
1616149731,64.5,175.0,21.0,15.3675585,58.057854,2.7767403,1524.0,51.811184,5.0,600
1616240860,64.85,175.0,21.1,15.337046,58.078785,2.7930396,1529.0,52.110886,5.0,570
1616327516,65.65,175.0,21.4,15.813063,57.75224,2.811856,1541.0,52.45687,6.0,554
1616414567,64.5,175.0,21.0,15.388643,58.043392,2.7760386,1524.0,51.798286,5.0,602
1616495703,64.75,175.0,21.1,15.444749,58.0049,2.7850757,1528.0,51.96445,5.0,588
1616495713,64.75,175.0,21.1,15.444749,58.0049,2.7850757,1528.0,51.96445,5.0,588
1616582249,65.25,175.0,21.3,15.847471,57.728634,2.7933283,1535.0,52.116196,5.0,588
1616668846,65.5,175.0,21.3,15.953092,57.656178,2.8006115,1539.0,52.250114,6.0,579
1616754784,64.65,175.0,21.1,15.352941,58.067883,2.7837758,1526.0,51.940548,5.0,587
1616843221,65.15,175.0,21.2,15.663048,57.85515,2.7951853,1534.0,52.15034,5.0,578
1616928643,66.0,175.0,21.5,16.244356,57.45637,2.8123717,1546.0,52.466354,6.0,569
1617016679,64.8,175.0,21.1,15.831599,57.73952,2.7743263,1528.0,51.7668,5.0,621
1617100636,65.25,175.0,21.3,15.722414,57.814423,2.7975373,1535.0,52.19359,5.0,576
1617187081,64.9,175.0,21.1,15.681473,57.84251,2.7836933,1530.0,51.939034,5.0,599
1617273651,64.45,175.0,21.0,15.53774,57.94111,2.7689,1523.0,51.667023,5.0,620
1617357891,65.5,175.0,21.3,15.94271,57.6633,2.8009622,1539.0,52.25656,6.0,578
1617444027,65.5,175.0,21.3,16.098434,57.556473,2.795701,1539.0,52.159824,6.0,593
1617533030,65.1,175.0,21.2,15.612403,57.889893,2.7947106,1533.0,52.141613,5.0,577
