com.samsung.health.food_info,6233003,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
,,,,,"164 kcal, por 1 porção",,fatsecret-3947252,0,290.0,3.0,2.0,2018-09-15 13:32:18.266,2018-09-15 13:32:18.266,,4.0,,,Batata Rústica(Seletti),,,,164.0,porção,,zjIwstRrv1,,0.3,,com.sec.android.app.shealth,33.0,,fa3e6dc1-59d7-4946-8679-2814beb88f8d,1,
,0.0,0.0,0.0,0.0,"139 kcal, por 1 unidade (50g)",,fatsecret-8607088,50,281.0,1.2,0.8,2023-09-24 18:39:26.792,2018-09-07 20:39:35.644,,4.0,,0.0,Pão Cacetinho(Zaffari),,,0.0,139.0,porção,,xoyixJvqZs,g,0.0,0.0,com.sec.android.app.shealth,28.0,0.35971224,4a5eb48d-35f9-4e63-973f-4bdc3b161c70,1,
259.0,0.33333334,0.0,0.0,78.0,"286 kcal, por 100g",,fatsecret-36107,100,76.0,0.0,23.6,2023-08-30 17:03:00.468,2018-09-09 20:39:11.051,10.21,17.09,2.15,5.5,Costela de Porco,0.0,,2.3846154,286.0,g,,xoyixJvqZs,g,8.93,,com.sec.android.app.shealth,0.0,0.35,5165e8c9-fb81-4e36-b968-4923c3676e07,100,
,,,,,"162 kcal, por 4 1/2 unidades (30g)",,fatsecret-12979240,30,127.0,0.6,8.4,2018-09-07 19:48:06.618,2018-09-07 19:48:06.618,,1.5,,,Bis Oreo(Lacta),,,,162.0,porção,,zjIwstRrv1,g,4.5,0.3,com.sec.android.app.shealth,20.0,0.18518518,0a041508-2c3d-48dc-b07d-ac5ad3aeba0b,1,
305.0,0.0,0.0,0.0,82.0,"254 kcal, por 101g",,fatsecret-1358,100,373.0,0.0,15.01,2023-08-21 16:29:35.093,2018-09-12 11:21:24.366,6.28,27.29,0.559,10.555555,Bife de Carne de Vaca,0.0,,1.2307693,252.0,g,,xoyixJvqZs,g,5.877,,com.sec.android.app.shealth,0.0,0.39655173,a085a43c-4834-41aa-bd67-875e6948f84b,100,
336.0,0.0,0.0,0.0,93.0,"231 kcal, por 100g",,fatsecret-37422,100,55.0,0.0,12.4,2023-10-06 00:45:58.419,2018-09-08 16:35:48.960,5.077,27.97,0.46,10.333333,Filé Mignon Grelhado,0.0,,1.3846154,231.0,g,,xoyixJvqZs,g,4.813,,com.sec.android.app.shealth,0.0,0.4329897,d7dda900-ae34-4679-b213-baa99fbd8462,100,
,0.0,0.0,0.0,,"57 kcal, por 1 unidade (30g)",,fatsecret-8790039,30,,,0.59,2023-09-29 23:47:04.873,2018-09-09 02:00:12.713,,2.45,,0.0,Niguiri de Salmão(Sushiaki),,,0.0,57.0,porção,,xoyixJvqZs,g,,,com.sec.android.app.shealth,10.39,0.5263158,3d88e3ef-9a92-444c-9045-76a1fb991c93,1,
109.0,1.0,0.0,0.0,43.0,"209 kcal, por 101g",,fatsecret-1697,46,189.0,0.0,4.96,2023-09-17 18:41:47.416,2018-09-20 01:34:12.530,1.893,11.83,1.131,3.3333335,Sobrecoxa de Frango (Pele Não Consumida),0.0,,0.46153846,95.0,"pequena (produto após cozinhado, ossos e pele removidos)",,xoyixJvqZs,g,1.382,,com.sec.android.app.shealth,0.0,0.48421052,ac8d21c6-4d23-4da1-8621-eecd5d859697,1,
,0.0,0.0,0.0,,"25 kcal, por 3 colheres de sopa (20g)",,fatsecret-9543584,20,0.0,0.5,0.2,2023-10-06 16:28:27.732,2018-09-10 14:55:19.677,,0.52,,0.0,Arroz Integral Cozido(Tio João),,,0.0,25.0,porção,,xoyixJvqZs,g,0.06,,com.sec.android.app.shealth,5.16,0.8,0cb0b176-bca3-4a29-ab15-46fc81e9914a,1,
,,,,,"328 kcal, por 1 unidade (240g)",,fatsecret-9978848,240,118.0,0.0,13.0,2018-09-17 01:53:29.105,2018-09-17 01:53:29.105,,52.0,,,Filet Mignon(The Fifties),,,,328.0,porção,,zjIwstRrv1,g,7.0,0.3,com.sec.android.app.shealth,0.0,0.73170733,27021c24-7c3b-4c05-a5b5-b111720dcb3b,1,
