com.samsung.health.food_intake,6233003,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2018-09-29 17:00:00.000,,,2018-09-29 17:00:37.108,2018-09-29 17:00:37.108,100002,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,7357c2be-685d-455c-b93f-4e464fed532f,meal_auto_filled,
2018-10-08 12:00:00.000,,,2018-10-08 12:00:36.346,2018-10-08 12:00:36.346,100001,,,1093.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,f0081be0-fc4e-41bf-be07-45d66615915b,meal_auto_filled,
2018-11-08 16:00:00.000,1.0,,2018-11-08 16:00:48.251,2018-11-08 16:00:48.251,100002,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,14916ba6-f505-4d76-9383-947f4871c281,meal_auto_filled,
2018-12-16 11:00:00.000,1.0,,2018-12-16 11:00:47.923,2018-12-16 11:00:47.923,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,87620447-554e-42d5-9050-0c7cacc8320a,meal_auto_filled,
2018-09-11 13:00:00.000,1.0,,2018-09-12 11:02:12.970,2018-09-12 11:02:12.970,100004,Top Whey 3W(Max Titanium),120001,167.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,e3d5f132-632f-45be-8364-252f0fad5920,1214ef4e-c837-45f9-a820-4bdee7219682,
2018-10-02 22:00:00.000,,,2018-10-02 22:01:05.067,2018-10-02 22:01:05.067,100003,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,12a2c4f0-cb01-46fa-aeaa-f99ffb19c9d5,meal_auto_filled,
2018-12-06 11:00:00.000,1.0,,2018-12-06 11:00:38.715,2018-12-06 11:00:38.715,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,60d75adf-d7f1-490c-8541-dc3165484704,meal_auto_filled,
2018-09-17 15:54:23.482,140.0,,2018-09-17 17:39:57.387,2018-09-17 17:39:57.387,100002,Ovo Mexido,120002,296.383,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,644da121-1b97-438c-8d20-24a2849c9c5c,f258bb56-cea3-4bef-a11e-2a607ed20f94,
2018-11-18 21:00:00.000,1.0,,2018-11-18 21:00:47.242,2018-11-18 21:00:47.242,100003,,-1,1092.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,aba4d154-e537-47d7-b7c9-b4f49a644404,meal_auto_filled,
2018-12-25 11:00:00.000,1.0,,2018-12-25 11:02:55.156,2018-12-25 11:02:55.156,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,f8926e49-0f35-401c-bebb-3cd1b37dd1ee,meal_auto_filled,
2018-09-16 14:09:09.967,150.0,,2018-09-16 14:20:56.119,2018-09-16 14:20:56.119,100001,Morangos,120002,48.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,1ad4935e-63bd-4206-b10d-ee8ec3ed5283,7201af0c-151a-47d5-9706-55698e88a6a6,
