com.samsung.health.nutrition,6233003,4
magnesium,potassium,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k,cholesterol,vitamin_b12,start_time,biotin,phosphorus,copper,custom,thiamin,folate,iodine,niacin,sodium,molybdenum,folic_acid,dietary_fiber,total_fat,update_time,create_time,meal_type,caffeine,monosaturated_fat,protein,manganese,polysaturated_fat,iron,zinc,riboflavin,sugar,title,added_sugar,calories_from_fat,calcium,calorie,time_offset,deviceuuid,polyunsaturated_fat,saturated_fat,trans_fat,pkg_name,selenium,vitamin_b6,carbohydrate,unsaturated_fat,chloride,pantothenic_acid,datauuid,chromium
,0.0,0.0,0.0,,,,0.0,,2018-12-24 11:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2018-12-24 11:00:03.958,2018-12-24 11:00:03.958,100001,,0.0,0.0,,0.0,0.0,,,0.0,Café da manhã,,,0.0,1093.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,0cbd1d77-c28f-4d55-915d-ae64fa438ea2,,
,0.0,0.0,0.0,,,,0.0,,2019-01-23 11:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2019-01-23 11:00:11.227,2019-01-23 11:00:11.227,100001,,0.0,0.0,,0.0,0.0,,,0.0,Café da manhã,,,0.0,1090.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,aef1465a-e760-458e-b3bb-134f7fa85a8e,,
,0.0,0.0,0.0,,,,0.0,,2019-02-14 11:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2019-02-14 11:01:17.551,2019-02-14 11:01:17.551,100001,,0.0,0.0,,0.0,0.0,,,0.0,Café da manhã,,,0.0,1090.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,e36b903b-43f9-4dc0-b2fb-10be637e2e24,,
,0.0,0.0,0.0,,,,0.0,,2019-01-18 11:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2019-01-18 11:01:01.091,2019-01-18 11:01:01.091,100001,,0.0,0.0,,0.0,0.0,,,0.0,Café da manhã,,,0.0,1090.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,1724e272-45ff-4cb6-bb44-b19c31a98701,,
,0.0,0.0,0.0,,,,0.0,,2019-01-26 16:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2019-01-26 16:00:19.456,2019-01-26 16:00:19.456,100002,,0.0,0.0,,0.0,0.0,,,0.0,Almoço,,,0.0,1089.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,50a21baf-5934-4538-a4f7-41484d31d8fa,,
,0.0,0.0,0.0,,,,0.0,,2018-12-07 11:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2018-12-07 11:05:11.503,2018-12-07 11:05:11.503,100001,,0.0,0.0,,0.0,0.0,,,0.0,Café da manhã,,,0.0,1093.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,62289aac-258a-47bb-99bf-18569652773d,,
,0.0,0.0,0.0,,,,0.0,,2019-02-12 21:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2019-02-12 21:01:01.020,2019-02-12 21:01:01.020,100003,,0.0,0.0,,0.0,0.0,,,0.0,Jantar,,,0.0,1089.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,a59bcf0d-63c0-48dd-a2ef-8eebb53a3fcd,,
,0.0,0.0,0.0,,,,0.0,,2019-02-03 11:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2019-02-03 11:01:11.768,2019-02-03 11:01:11.768,100001,,0.0,0.0,,0.0,0.0,,,0.0,Café da manhã,,,0.0,1090.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,b58ab528-ffe2-47ee-a8b2-aed9bae2bea8,,
,0.0,0.0,0.0,,,,0.0,,2018-11-03 12:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2018-11-03 12:00:24.342,2018-11-03 12:00:24.342,100001,,0.0,0.0,,0.0,0.0,,,0.0,Café da manhã,,,0.0,1093.0,UTC-0300,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,a0d8026a-00f3-4711-88fc-6ade0a2edd2c,,
,0.0,0.0,0.0,,,,0.0,,2018-11-15 21:00:00.000,,,,,,,,,0.0,,,0.0,0.0,2018-11-15 21:02:31.195,2018-11-15 21:02:31.195,100003,,0.0,0.0,,0.0,0.0,,,0.0,Jantar,,,0.0,1092.0,UTC-0200,zjIwstRrv1,,0.0,0.0,com.sec.android.app.shealth,,,0.0,,,,b30dddf9-3319-44d1-969a-8755d2253055,,
