com.samsung.shealth.activity.day_summary,6233003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
2759,1819486,,0,2019-09-27 01:51:33.595,2019-09-26 13:06:54.109,60,60000,50,2058.57,114.36001,e8bc7818-ce89-4f1a-b1fe-c5b70a17ebe4.extra_data.json,yfgkJHa6g4,0,com.sec.android.app.shealth,1819486,29880000,e8bc7818-ce89-4f1a-b1fe-c5b70a17ebe4,1569456000000,
11928,7209709,,0,2019-09-26 15:28:43.429,2019-09-26 13:06:54.254,100,420000,119,9364.0,526.19995,aefdddc2-a7b4-4c5d-a986-1f0048a8128e.extra_data.json,yfgkJHa6g4,291324,com.sec.android.app.shealth,6918385,23280000,aefdddc2-a7b4-4c5d-a986-1f0048a8128e,1567123200000,
15831,9476279,,0,2019-09-26 15:29:00.796,2019-09-26 13:06:54.663,100,983005,157,12081.685,699.99005,200c949c-a433-4740-9d28-694faa33a91b.extra_data.json,yfgkJHa6g4,135736,com.sec.android.app.shealth,9340543,24360000,200c949c-a433-4740-9d28-694faa33a91b,1567555200000,
9959,6085810,,0,2019-09-26 15:29:00.931,2019-09-26 13:06:54.697,100,777646,100,7760.906,847.6786,249346de-5a92-4b5f-8827-fc0f8bbb963e.extra_data.json,yfgkJHa6g4,160096,com.sec.android.app.shealth,5925714,20940000,249346de-5a92-4b5f-8827-fc0f8bbb963e,1567641600000,
4862,2914898,,0,2019-09-26 15:29:08.428,2019-09-26 13:06:54.922,100,420000,48,3708.1895,207.23001,29311ac8-c133-4b54-9801-c7248ccf0019.extra_data.json,yfgkJHa6g4,30634,com.sec.android.app.shealth,2884264,11940000,29311ac8-c133-4b54-9801-c7248ccf0019,1568073600000,
11125,6862218,,0,2019-09-26 15:29:08.878,2019-09-26 13:06:55.006,100,840000,113,8536.126,506.30038,570a5e00-36c9-4165-86f7-c45a980d187d.extra_data.json,yfgkJHa6g4,173463,com.sec.android.app.shealth,6688755,20760000,570a5e00-36c9-4165-86f7-c45a980d187d,1568246400000,
2353,1523308,,0,2019-09-26 15:29:09.870,2019-09-26 13:06:55.470,100,240000,25,1708.93,97.73,5168f76f-5afa-4258-8e0c-7786fe231003.extra_data.json,yfgkJHa6g4,0,com.sec.android.app.shealth,1523308,34260000,5168f76f-5afa-4258-8e0c-7786fe231003,1568678400000,
7556,4673922,,0,2019-09-26 15:29:09.966,2019-09-26 13:06:55.597,100,697905,77,5623.78,321.85007,aed2a173-ecc2-4ee9-b3db-d522b841b671.extra_data.json,yfgkJHa6g4,7600,com.sec.android.app.shealth,4666322,23880000,aed2a173-ecc2-4ee9-b3db-d522b841b671,1568764800000,
8423,4802911,,0,2019-09-26 15:29:10.693,2019-09-26 13:06:56.285,100,420000,79,6293.1626,383.14,62e73e09-5cad-4df8-bfc5-11ec16cb424b.extra_data.json,yfgkJHa6g4,99181,com.sec.android.app.shealth,4703730,28500000,62e73e09-5cad-4df8-bfc5-11ec16cb424b,1569196800000,
11288,6934334,,0,2019-09-26 15:29:11.056,2019-09-26 13:06:56.505,100,913507,115,8587.0,493.97147,5ee3516b-32f6-4da8-b5e8-f65bf34ac94c.extra_data.json,yfgkJHa6g4,69195,com.sec.android.app.shealth,6865139,22860000,5ee3516b-32f6-4da8-b5e8-f65bf34ac94c,1569283200000,
