com.samsung.shealth.best_records,6233003,2
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-100003,2016-06-16 21:19:47.844,2016-06-16 21:19:47.844,,1421625600000,0,6720.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,3bfda718-721e-4292-8a5b-4e07f6245892,
,-100003,2016-06-16 21:19:47.647,2016-06-16 21:19:47.647,,1420675200000,0,6126.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,3e1be878-3b7c-48f2-95e7-28f565922fbe,
,-100003,2016-06-16 21:19:47.991,2016-06-16 21:19:47.991,,1423440000000,0,8647.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,4021d138-74ec-428a-b6b8-160027cde911,
5e18dde1-2c36-4476-bd11-471869a0f4b1,-1,2023-10-06 20:51:47.425,2018-09-07 19:50:37.204,,1536335700000,2,513.0,,-1,zjIwstRrv1,com.sec.android.app.shealth,tracker.sport_cycling,ad284178-62ca-4d70-863e-ea6f0610940c,
23165b78-5243-0ac3-7c6c-d87d68239f71,-1,2023-10-06 20:51:47.382,2020-12-29 23:18:20.520,,1607877652000,4,11.800236,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,3603582a-a1c0-4ba2-ae1f-9109b58d4ea8,
f18b83a7-c000-66b9-ce82-90314010c1db,-1,2023-10-06 20:51:47.504,2021-01-17 08:31:57.289,,1610297954000,1,8010000.0,,11007,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,0b4a69a9-5dcf-44ae-9b14-3875bcf4b152,
30bf8467-2741-2677-328d-2577497a2f0b,-1,2023-10-06 20:51:47.396,2021-04-14 22:03:07.477,,1618424575000,4,12.817367,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,387fc40c-9f70-48bd-bba0-91a691f7b45e,
,-1,2022-12-12 10:50:14.402,2022-12-12 10:50:14.402,,1670716800000,6,6.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,28b90df2-23f9-4ae1-8532-f46e25d294bb,
6c53a4f3-3d3d-4aab-8bf5-487c5caa676e,-1,2023-10-06 20:51:47.437,2023-01-30 22:33:26.380,,1675105905625,5,33.433,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,b78f4af4-501a-42d3-9d19-8fe532fe2a48,
9fb3b226-7e72-4fe9-b7a5-d84d9a1e0394,-1,2023-10-06 20:51:47.455,2023-03-04 17:44:07.651,,1677926674019,5,351.824,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,0f197684-264c-46e8-993e-14eb4e8d9d14,
b6b9cd2e-4319-4dd2-af17-abce2dd48cb3,-1,2023-10-06 20:51:47.472,2016-03-23 19:52:58.025,,1458751592630,2,58.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.sport_cycling,07f70cb8-b69e-4cd0-ba96-53dc82bdaf34,
,-100003,2016-06-16 21:19:48.110,2016-06-16 21:19:48.110,,1432598400000,0,15620.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,f89e7bf8-f5e2-430d-bc19-26e0806351a4,
,-100003,2017-02-16 02:00:30.808,2017-02-16 02:00:30.808,,1487116800000,0,27597.0,,-1,n2OTyB17mi,com.sec.android.app.shealth,tracker.pedometer,d0c502ff-d394-4986-b72c-f61a5206ee86,
51c369bf-1e5d-4fb5-a648-f6112df8eef6,-1,2023-10-06 20:51:47.417,2018-09-22 12:35:05.371,,1537547400000,2,519.0,,6002,zjIwstRrv1,com.sec.android.app.shealth,tracker.sport_others,33907578-deef-4374-b7ca-c0ce20f3975c,
23165b78-5243-0ac3-7c6c-d87d68239f71,-1,2023-10-06 20:51:47.382,2020-12-29 23:18:20.575,,1607877652000,2,711.2521,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,377405ab-5f4a-46a8-a9c5-9f4b025c609d,
6f8f4680-07d1-109b-7fc4-3e854d2a9cc1,-1,2023-10-06 20:51:47.443,2021-01-29 05:57:08.062,,1611043165000,3,80989.86,1,11007,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,d5878fd6-11da-4a51-b5a4-ae4c6d2fa94a,
dfb1e8b2-a293-0593-c6b1-1bd795e26d8a,-1,2023-10-06 20:51:47.500,2021-05-25 07:52:36.058,,1619951704000,4,14.952795,,11007,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,fc7549e6-bb69-4602-8381-4467c7c32412,
,-1,2022-12-13 00:01:20.374,2022-12-13 00:01:20.374,,1670803200000,6,7.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,21b9901e-1dfd-49f5-9268-94b364aaea3a,
ccdde33c-3192-499e-88e6-9df7578fa079,-1,2023-10-06 20:51:47.492,2023-02-08 22:43:59.396,,1675883774639,5,62.583,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,5e4e7d04-2bf6-4f47-ade9-d5d1cbc719a3,
85f91241-15e2-485f-8e0e-6de8d9e17af4,-1,2023-06-23 10:48:15.949,2023-06-23 10:48:15.949,,1687485627220,1,2.0846616E7,,15002,xoyixJvqZs,com.sec.android.app.shealth,tracker.sport_others,696d80f1-2180-4dc1-afed-b2b9781ecee9,
,-100003,2016-06-16 21:19:48.151,2016-06-16 21:19:48.151,,1441843200000,0,22742.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,d27e0900-b07e-4cf6-aea1-fc0c71abe5e5,
,-100003,2016-06-16 21:19:47.902,2016-06-16 21:19:47.902,,1422576000000,0,6942.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,cd79a237-1476-4c44-b92e-666792b063fa,
