com.samsung.shealth.exercise.weather,6233003,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,0,2016-08-13 18:28:53.263,-30.025785,,W. 270.0,Céu Limpo,0,0,AccuWeather,2016-08-13 18:28:53.288,2016-08-13 18:28:53.288,1,-51.20083,73.0,35,UTC-0300,f1/7zwjou1,cb2f4e55-1fb3-4750-b992-1d4c95fdfaa4,com.sec.android.app.shealth,mi/h,0,13.8,1,c520cac1-f515-4ab2-b824-4b1d3478c63d,
,0,2018-11-22 22:50:54.029,-30.030714,,E. 100,Limpo,0,1,TWC,2018-11-22 22:50:54.031,2018-11-22 22:50:54.031,1,-51.21055,26.0,69,UTC-0200,zjIwstRrv1,e0201bf1-9916-4f0f-b0ae-0e82eda5c13f,com.sec.android.app.shealth,km/h,0,23.0,1,f180f802-1169-412e-8fe6-a8b740ccb887,
,0,2018-04-04 18:19:44.374,-30.072083,,SSE. 150,Encoberto,0,1,TWC,2018-04-04 18:19:44.378,2018-04-04 18:19:44.378,1,-51.12015,25.0,68,UTC-0300,n2OTyB17mi,6599d3eb-5628-4244-b7de-dc62a180c16f,com.sec.android.app.shealth,km/h,0,16.0,3,ad786138-bf17-4a76-a02a-fb99d5350811,
,0,2019-02-13 20:46:26.573,-30.028639,,E. 100,Parcial. nublado,0,1,TWC,2019-02-13 20:46:26.575,2019-02-13 20:46:26.575,1,-51.221466,24.0,59,UTC-0200,zjIwstRrv1,f3ae4649-8b5a-4b3b-a99e-c1db47e305c3,com.sec.android.app.shealth,km/h,0,26.0,2,9879bd33-0df5-4f82-8b51-ad73ad4ef9a6,
,0,2018-08-15 11:23:24.189,-30.070465,,S. 170,Encoberto,0,1,TWC,2018-08-15 11:23:24.193,2018-08-15 11:23:24.193,1,-51.11862,13.0,81,UTC-0300,n2OTyB17mi,41e94290-f16e-43a7-a497-7e10a60d86c8,com.sec.android.app.shealth,km/h,0,11.0,3,0497c2cb-1b59-429a-abf6-14cdfcacc6db,
,0,2018-12-12 20:17:56.963,-30.030584,,O. 280,Limpo,0,1,TWC,2018-12-12 20:17:56.969,2018-12-12 20:17:56.969,1,-51.21083,29.0,63,UTC-0200,zjIwstRrv1,55d7f4e2-1740-44e9-837e-350e8b3f048a,com.sec.android.app.shealth,km/h,0,14.0,1,ffc9a7c0-0b75-41f9-9c2e-4bf48e6b043f,
,0,2019-02-13 20:08:26.910,-30.05722,,ESE. 120,Encoberto,0,1,TWC,2019-02-13 20:08:26.932,2019-02-13 20:08:26.932,1,-51.22032,26.0,55,UTC-0200,zjIwstRrv1,828f722e-0877-4365-9536-40e2ee51f1a2,com.sec.android.app.shealth,km/h,0,24.0,3,9979ca65-6b8d-4fe0-b1fa-c7c401f1d296,
,0,2018-07-18 15:10:17.883,-30.033022,,N. 350,Limpo,0,1,TWC,2018-07-18 15:10:17.886,2018-07-18 15:10:17.886,1,-51.220467,24.0,70,UTC-0300,n2OTyB17mi,c2ffa98e-35c3-4faa-83ea-1ac26282cc3c,com.sec.android.app.shealth,km/h,0,3.0,1,02edcab7-f5cb-4b27-8d51-bf8fe63314b7,
,0,2018-12-21 10:40:53.559,-30.03972,,NNO. 340,Limpo,0,1,TWC,2018-12-21 10:40:53.561,2018-12-21 10:40:53.561,1,-51.208324,23.0,88,UTC-0200,zjIwstRrv1,c9ca30fe-1bba-4c6a-8421-6f1303d10ca3,com.sec.android.app.shealth,km/h,0,0.0,1,accc19e6-686b-4cb9-831c-16c3c01542b5,
,0,2018-07-18 13:14:38.754,-30.037045,,ESE. 110,Limpo,0,1,TWC,2018-07-18 13:14:38.756,2018-07-18 13:14:38.756,1,-51.207424,21.0,93,UTC-0300,n2OTyB17mi,c7d1e91e-e41c-4aef-bb02-ca298c34291c,com.sec.android.app.shealth,km/h,0,8.0,1,b5eed5ec-4f2e-4ebf-b52e-9fae6d1e5492,
,0,2019-08-08 20:03:13.324,-30.034918,,S. 170,Limpo,0,1,TWC,2019-08-08 20:03:13.337,2019-08-08 20:03:13.337,1,-51.242012,22.0,76,UTC-0300,zjIwstRrv1,901b3ac3-e40c-4170-8e8b-9ee59c53672e,com.sec.android.app.shealth,km/h,0,14.0,1,562349b6-ec00-415e-8a8e-a783ca7f3402,
,0,2018-02-16 13:38:07.532,38.71694,,E. 100,Bancos de neblina,0,1,TWC,2018-02-16 13:38:07.535,2018-02-16 13:38:07.535,1,-9.135544,14.0,79,UTC+0000,n2OTyB17mi,185030fc-5f11-44eb-bb5f-33882897f95c,com.sec.android.app.shealth,km/h,0,8.0,4,e5475292-dd83-4812-8b99-f2d1a0942a8d,
,0,2017-05-20 21:32:45.381,-29.786673,,E. 90.0,Muito nublado,0,0,AccuWeather,2017-05-20 21:32:45.383,2017-05-20 21:32:45.383,1,-51.140858,72.0,77,UTC-0300,n2OTyB17mi,097cc9f5-b33c-4a58-b0ae-827038b096c1,com.sec.android.app.shealth,mi/h,0,17.3,20,3e2cd74b-18e6-41cc-a941-7c55ca7ad215,
,0,2019-07-31 18:33:11.536,38.724762,,NO. 320,Ensolarado,0,1,TWC,2019-07-31 18:33:11.540,2019-07-31 18:33:11.540,1,-9.14952,23.0,47,UTC+0100,zjIwstRrv1,ef831c6f-d1fe-4f33-9bfc-2e7999eada77,com.sec.android.app.shealth,km/h,0,21.0,1,0906e839-2704-4eb9-b6ed-31cffad5fa7f,
,0,2019-09-25 15:50:19.553,-30.03047,,S. 190,Limpo,0,1,TWC,2019-09-25 15:50:19.556,2019-09-25 15:50:19.556,1,-51.210884,22.0,52,UTC-0300,zjIwstRrv1,3ac65c65-800f-4660-9915-3a6238ebb40b,com.sec.android.app.shealth,km/h,0,5.0,1,cc79cce8-d104-4666-a50d-35146e43e6b8,
,0,2018-10-17 16:08:12.970,-30.067142,,E. 100,Limpo,0,1,TWC,2018-10-17 16:08:12.972,2018-10-17 16:08:12.972,1,-51.12052,29.0,55,UTC-0300,zjIwstRrv1,efb7f0d8-30bc-4c6d-80e4-0addd48fc67e,com.sec.android.app.shealth,km/h,0,11.0,1,4c3ab020-5d64-462c-9133-860a5dfcdb8e,
,0,2019-04-05 23:07:34.065,-29.76232,,S. 180,Pancada de chuva,0,1,TWC,2019-04-05 23:07:34.075,2019-04-05 23:07:34.075,1,-51.1376,19.0,86,UTC-0300,zjIwstRrv1,86d81db0-c5be-4982-95db-225c32cc7d88,com.sec.android.app.shealth,km/h,0,8.0,5,87f4c27d-9bff-4583-87eb-d0441d57139a,
0.0,0,2017-01-16 22:55:07.196,-27.70324,,ENE. 68.0,Pouco nublado,0,0,AccuWeather,2017-01-16 22:55:07.202,2017-01-16 22:55:07.202,1,-48.50108,82.0,78,UTC-0200,n2OTyB17mi,4d212a54-ca27-4d2a-87e1-5f19482c88af,com.sec.android.app.shealth,mi/h,0,10.4,11,f38ae7ca-daed-4ea8-a4e8-2de85be35748,
,0,2019-08-12 17:06:34.216,-30.03008,,OSO. 240,Chuva fraca,0,1,TWC,2019-08-12 17:06:34.218,2019-08-12 17:06:34.218,1,-51.210674,18.0,92,UTC-0300,zjIwstRrv1,b4da8c7a-a58e-4120-9b1d-0fe361d47263,com.sec.android.app.shealth,km/h,0,8.0,5,d327c0da-56c3-416a-9dfd-0322eed26c6a,
,0,2019-08-15 16:06:31.259,-30.072721,,ESE. 110,Limpo,0,1,TWC,2019-08-15 16:06:31.262,2019-08-15 16:06:31.262,1,-51.121048,18.0,53,UTC-0300,zjIwstRrv1,d01472c4-cd03-4a32-bf7b-be1d971f963e,com.sec.android.app.shealth,km/h,0,8.0,1,ad265531-a4ef-4b8e-8a41-a3026c33b604,
,0,2018-04-25 16:27:29.268,-30.067127,,O. 280,Limpo,0,1,TWC,2018-04-25 16:27:29.276,2018-04-25 16:27:29.276,1,-51.120594,28.0,63,UTC-0300,n2OTyB17mi,6cfd093e-f7f9-4339-997a-6843a0b40d73,com.sec.android.app.shealth,km/h,0,5.0,1,f0da8daf-e228-4cfe-9ae8-e1edf07998b2,
