com.samsung.shealth.food_favorite,6233003,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2018-09-10 15:02:49.839,2018-09-10 15:02:49.839,3b88feae-9013-43dd-a251-14a589a3417d,,3b88feae-9013-43dd-a251-14a589a3417d,0.0,zjIwstRrv1,com.sec.android.app.shealth,7f09ab6e-f756-43e6-a0cf-aa5efd301b43,5adc9e37-9870-4e45-9ff1-263fc1c102ef,
0.0,2,2018-09-14 19:55:07.665,2018-09-14 19:55:07.665,91c7531e-d8a5-4f18-a91e-f482c78b0b1b,,91c7531e-d8a5-4f18-a91e-f482c78b0b1b,0.0,zjIwstRrv1,com.sec.android.app.shealth,21d853b3-066f-4d26-9d4b-85dc80267977,f2908e13-99b8-404c-81ab-73a06950af22,
0.0,2,2018-09-08 16:35:49.385,2018-09-08 16:35:49.385,f9b0009c-f1d6-4516-9af0-46b3b0662ff9,,f9b0009c-f1d6-4516-9af0-46b3b0662ff9,0.0,zjIwstRrv1,com.sec.android.app.shealth,2829ce00-e8bc-46a4-8566-c59050c278f3,6a5c2ebc-c523-4b09-a746-4e93acb546e9,
0.0,2,2018-09-13 10:47:10.252,2018-09-13 10:47:10.252,0c910347-2e97-4ca3-a9ef-3bf27eae1106,,0c910347-2e97-4ca3-a9ef-3bf27eae1106,0.0,zjIwstRrv1,com.sec.android.app.shealth,0cc34da0-8aff-4435-a5fe-98aa03de5ff8,1214ef4e-c837-45f9-a820-4bdee7219682,
0.0,2,2018-09-13 10:46:55.377,2018-09-13 10:46:55.377,c8c59e38-495e-42af-b924-2ec4f0eac38c,,c8c59e38-495e-42af-b924-2ec4f0eac38c,0.0,zjIwstRrv1,com.sec.android.app.shealth,6f6b1d6b-e5b2-42a2-8c56-dae5fa168d78,1214ef4e-c837-45f9-a820-4bdee7219682,
0.0,2,2018-09-16 01:45:19.185,2018-09-16 01:45:19.185,6d222e8d-5043-4af9-a291-a919be58ebaa,,6d222e8d-5043-4af9-a291-a919be58ebaa,0.0,zjIwstRrv1,com.sec.android.app.shealth,4070b72b-949c-492a-bb06-8169483618aa,f996f973-3626-44f9-a558-f80220a44634,
0.0,2,2018-09-20 21:40:45.530,2018-09-20 21:40:45.530,6702beb8-d348-44dc-95fa-e49217141175,,6702beb8-d348-44dc-95fa-e49217141175,0.0,zjIwstRrv1,com.sec.android.app.shealth,2567a2bc-3796-48b0-bc45-dd9392ab3634,2095cb95-4857-48e0-97b9-4e159a360fde,
0.0,2,2018-09-22 12:47:20.365,2018-09-22 12:47:20.365,3905a827-1380-4bbe-8936-1216cde85f61,,3905a827-1380-4bbe-8936-1216cde85f61,0.0,zjIwstRrv1,com.sec.android.app.shealth,8d93ba4e-b324-495a-930d-1514485ff863,5c6cd7a7-db8f-41c8-92a1-a70bb3bfd554,
0.0,2,2018-09-19 11:25:00.018,2018-09-19 11:25:00.018,5c915254-fe8b-47ef-ba7c-8607c028bcdc,,5c915254-fe8b-47ef-ba7c-8607c028bcdc,0.0,zjIwstRrv1,com.sec.android.app.shealth,812b1170-525a-4e69-8ba0-d07bc5d40c7f,4dabffc7-8b63-453b-9156-542b5f57c425,
0.0,2,2018-09-22 12:48:02.584,2018-09-22 12:48:02.584,56f496cb-4943-4830-890f-598103b54d31,,56f496cb-4943-4830-890f-598103b54d31,0.0,zjIwstRrv1,com.sec.android.app.shealth,a60c99ef-c3a8-4e2d-821f-d7c4fb44ded5,5c6cd7a7-db8f-41c8-92a1-a70bb3bfd554,
