com.samsung.shealth.food_frequent,6233003,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2018-09-10 21:09:15.352,2018-09-10 21:09:15.352,0.0,0.0,0.0,zjIwstRrv1,com.sec.android.app.shealth,1.0,dab19838-16a2-4f89-a50f-2650cda64b98,d43b415c-dc16-4e52-95f1-06dd0d06d42f,0.0,
0.0,2023-04-12 14:22:33.108,2023-04-12 14:22:33.108,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,0c68c3c5-597a-4f0f-ad13-2750593932cf,659f4f44-87cf-4223-b2e7-c41d5a9bb994,2.0,
0.0,2023-09-16 03:23:13.916,2023-04-12 14:22:33.119,0.0,4.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,4e198ab3-c237-44c7-bcf6-c1363e74dda6,f790f382-6461-434d-ba42-72123a8be87f,0.0,
0.0,2018-09-12 11:27:12.925,2018-09-08 01:57:16.629,1.0,0.0,0.0,zjIwstRrv1,com.sec.android.app.shealth,1.0,b6b8764a-0cbd-41f4-9624-ea6bbc9b2222,meal_removed,0.0,
0.0,2023-09-30 13:02:29.630,2023-04-12 14:22:33.137,0.0,0.0,5.0,xoyixJvqZs,com.sec.android.app.shealth,3.0,ffb042ab-89ab-4607-87f8-2a98a761eb79,eda71e27-19c3-4236-bc2c-1ba9cb7804e3,0.0,
0.0,2023-04-12 14:22:33.108,2023-04-12 14:22:33.108,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,fcaf4476-f0f9-4381-8e4f-eb22fcae0f87,fa3e6dc1-59d7-4946-8679-2814beb88f8d,0.0,
0.0,2023-04-12 14:22:33.122,2023-04-12 14:22:33.122,1.0,0.0,3.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,67cb33fe-625e-4093-ad3b-7073e4c5b84d,626b0886-d9bc-49df-b0a9-d40dee479cd9,1.0,
1.0,2023-09-25 14:04:44.884,2023-04-12 14:22:33.117,6.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,62080ddf-24c6-4750-8053-597969f68580,c236138c-f8e1-4134-b5f0-797939b89bf1,0.0,
0.0,2018-09-10 21:09:15.376,2018-09-10 21:09:15.376,0.0,0.0,0.0,zjIwstRrv1,com.sec.android.app.shealth,1.0,ad645373-8ebd-4a3f-aa9a-15fe0212a8ee,989cdad8-be72-461f-97d3-8befe9eda46c,0.0,
0.0,2023-04-12 14:22:33.116,2023-04-12 14:22:33.116,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,321d3e26-2962-445a-b9e0-d93b76e887e3,a085a43c-4834-41aa-bd67-875e6948f84b,2.0,
0.0,2023-04-12 14:22:33.117,2023-04-12 14:22:33.117,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,b4372e32-30de-4366-ab92-f5fd48befa8d,6db97a85-28e9-49a2-8444-7053ba0cfdb5,0.0,
0.0,2023-09-22 16:14:06.030,2023-04-12 14:22:33.118,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,e359d208-9d16-44e8-9378-a7ce063f37cd,6b934e34-8e10-4493-9ba4-9ed059d3de41,1.0,
0.0,2023-04-12 14:22:33.121,2023-04-12 14:22:33.121,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,ff5d1ca9-5461-4396-ba6c-32cdb356f644,bbe60192-2f84-4b75-83e8-d47092acc68f,1.0,
0.0,2023-04-12 14:22:33.118,2023-04-12 14:22:33.118,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,fc260954-def6-4a53-9744-48e3b3943cd0,9141fb3d-9827-4a43-9609-0c9e2f52a61b,0.0,
