com.samsung.shealth.insight.hourly_accumulated_active_time,6233003,1
active_time_10,active_time_11,active_time_12,active_time_13,active_time_14,active_time_15,active_time_16,active_time_17,active_time_18,active_time_19,active_time_20,active_time_21,active_time_22,active_time_23,active_time_24,active_time_1,active_time_2,active_time_3,active_time_4,active_time_5,active_time_6,active_time_7,active_time_8,active_time_9,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
987155,1030510,1250620,1516086,2006301,2166381,2416639,2457326,2583389,2926227,3233714,3578553,3578553,3592560,3592560,40687,270802,452221,542266,542266,542266,542266,542266,552271,2019-12-26 07:22:34.908,2019-12-26 07:22:34.908,yfgkJHa6g4,com.sec.android.app.shealth,cdc9f6be-b354-4da7-83ca-6378e989e7f9,1577232000000,
171685,211038,233716,490421,835170,2241605,3156814,3212842,3751111,4396647,4696767,5261656,5430407,5615166,5615166,126996,132999,132999,132999,132999,132999,132999,132999,132999,2020-01-05 06:30:35.292,2020-01-05 06:30:35.292,yfgkJHa6g4,com.sec.android.app.shealth,58f4e7ee-4eac-4167-9d84-11ff3edf618d,1578096000000,
38686,95381,883667,3102901,4378194,4378194,4378194,5485721,5988550,8241979,8282666,8304677,8694722,9139551,9151557,,,,,,,,,,2020-01-04 06:30:28.549,2020-01-04 06:30:28.549,yfgkJHa6g4,com.sec.android.app.shealth,260208c2-edff-4e1d-8e99-4c41ace750cb,1578009600000,
524839,2440212,3173185,3283240,3706755,4399130,5233367,6115141,6840982,6973018,7606458,7674492,7878534,7915219,7915219,,,,,,,,70702,524839,2020-02-26 04:43:00.136,2020-02-26 04:43:00.136,yfgkJHa6g4,com.sec.android.app.shealth,7621271e-f5d6-43d5-8f94-68c88175a547,1582588800000,
4002,32683,74037,921080,2539223,2954067,3477602,4277185,5255434,6061234,6386033,6386033,7366043,9639483,9917592,4002,4002,4002,4002,4002,4002,4002,4002,4002,2020-02-16 04:09:00.238,2020-02-16 04:09:00.238,yfgkJHa6g4,com.sec.android.app.shealth,59db2d54-b348-4ba6-a14a-197a7628a12c,1581724800000,
33350,422091,525446,730215,1183625,1303655,1377025,2131577,2146251,2270283,3276182,4068730,4076734,4076734,4076734,,,,,,,,,8671,2020-02-17 04:09:13.660,2020-02-17 04:09:13.660,yfgkJHa6g4,com.sec.android.app.shealth,db87502b-7b40-461a-a1f3-c8291e4bb63c,1581811200000,
184092,2194375,2247735,3157373,3767648,3767648,3963686,5267341,6571026,8208818,9150352,10561660,10561660,10571665,10583004,18009,18009,18009,18009,18009,18009,18009,18009,18009,2020-02-24 04:43:00.161,2020-02-24 04:43:00.161,yfgkJHa6g4,com.sec.android.app.shealth,a419d784-a0da-4949-bb7d-06d249af2bec,1582416000000,
877592,1403765,1413770,1413770,2818500,4298087,4352781,4440825,6015958,6746720,6746720,6746720,8019543,8411709,9112486,,,,,,,,,125396,2020-02-23 01:39:26.767,2020-02-23 01:39:26.767,yfgkJHa6g4,com.sec.android.app.shealth,9f1ee1ed-675b-4b3b-861f-0733c239cdcb,1582329600000,
954177,1408105,2297830,3157443,4186354,4207698,4207698,4771163,5497376,5782762,6331493,6624943,6767147,6815171,7188024,,,,,,,,110055,954177,2019-12-07 04:47:00.199,2019-12-07 04:47:00.199,yfgkJHa6g4,com.sec.android.app.shealth,fcfa5889-5301-4f5b-b3f9-4f0ed7751aaf,1575590400000,
628921,1277125,2453234,3500034,5958352,7629951,9300853,11004588,12633619,13825188,14968673,16724134,16724134,16724134,16766822,,,,,,,,,18009,2020-02-15 04:11:46.854,2020-02-15 04:11:46.854,yfgkJHa6g4,com.sec.android.app.shealth,2e658985-9e5b-4bac-aa3b-d07a123d70f5,1581638400000,
