com.samsung.shealth.preferences,6233003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2023-04-12 14:05:04.290,2023-04-12 14:04:48.673,,,,0,xoyixJvqZs,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2023-10-06 20:57:27.382,2021-08-03 06:31:50.506,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,step.detectworkout_switch,
,,,2021-12-18 15:27:21.905,2021-12-18 15:27:21.929,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,weight.target_body_fat_status,
,tracker.spo2,,2023-09-28 20:01:49.350,2022-12-08 14:43:28.447,,,,0,xoyixJvqZs,com.sec.android.app.shealth,,10-measure.period,
,tracker.heartrate,,2022-12-08 15:29:40.444,2022-12-08 14:57:48.591,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,05-alert.high.enable,
,tracker.exercise,,2023-04-23 12:51:27.695,2022-12-08 15:30:09.125,,,,1,xoyixJvqZs,com.sec.android.app.shealth,,34-detection.dynamic.enable,
"{""0"":""DURATION"",""1"":""CALORIE""}",tracker.exercise,,2022-12-08 21:29:10.053,2022-12-08 21:28:36.215,,,,,2l9vD+Aay/,com.sec.android.app.shealth,,34-15002.workout.data1,
,tracker.exercise,,2022-12-12 17:14:30.451,2022-12-12 17:14:30.451,,,,1,2l9vD+Aay/,com.sec.android.app.shealth,,34-11007.autoLap.type,
,,,2023-02-05 12:16:14.504,2023-02-05 12:16:14.553,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,settings.map_location_agreement,
,,,2023-03-25 19:49:37.249,2023-03-25 19:49:37.266,1679773777005,,,,yfgkJHa6g4,com.sec.android.app.shealth,,hsp.sync_time_bg,
,,,2023-10-06 18:47:14.933,2023-03-25 20:50:01.119,1696618029634,,,,xoyixJvqZs,com.sec.android.app.shealth,,hsp.sync_time_nutrition,
"{""0"":""DURATION"",""1"":""DURATION""}",tracker.exercise,,2023-06-08 13:39:44.775,2023-06-08 13:39:44.775,,,,,dFCfDPMS7d,com.sec.android.app.shealth,,34-5002.workout.data1,
,,,2023-10-06 20:44:48.933,2020-12-13 21:05:23.380,1696625088933,,,,yfgkJHa6g4,com.sec.android.app.shealth,,websync.strava_last_sync_time,
,tracker.exercise,,2023-05-16 04:38:13.165,2023-04-12 14:05:04.603,,,34-favorite_list.blob_value.json,,dFCfDPMS7d,com.sec.android.app.shealth,,34-favorite_list,
