com.samsung.shealth.report,6233003,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Sao_Paulo,1476583200000,2016-11-18 14:12:27.998,2016-10-23 15:04:27.096,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,96eccb5d-f070-4e10-b7ef-a0bf81fb1240,96eccb5d-f070-4e10-b7ef-a0bf81fb1240.compressed_content.json,
America/Sao_Paulo,1519527600000,2018-03-06 17:29:34.699,2018-03-04 17:31:20.703,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,89fd0d58-efdf-4e28-9d27-2c2b7734760d,89fd0d58-efdf-4e28-9d27-2c2b7734760d.compressed_content.json,
America/Sao_Paulo,1494730800000,2017-05-22 17:29:55.983,2017-05-21 17:31:22.524,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,0858aa54-4f82-4a84-93d7-53a1733a9304,0858aa54-4f82-4a84-93d7-53a1733a9304.compressed_content.json,
America/Sao_Paulo,1529204400000,2018-06-30 17:30:16.104,2018-06-24 17:31:14.368,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,cca33c2d-f3bd-4256-99da-57e31ad256f6,cca33c2d-f3bd-4256-99da-57e31ad256f6.compressed_content.json,
America/Sao_Paulo,1506826800000,2017-10-08 17:31:07.036,2017-10-08 17:29:51.304,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,96760149-f979-4e08-8f70-b43a6af0176d,96760149-f979-4e08-8f70-b43a6af0176d.compressed_content.json,
America/Sao_Paulo,1479002400000,2016-11-20 15:05:24.544,2016-11-20 15:04:25.321,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,4a429a71-d3d1-4057-9252-63dd9868e8f2,4a429a71-d3d1-4057-9252-63dd9868e8f2.compressed_content.json,
America/Sao_Paulo,1470538800000,2016-11-18 14:12:38.248,2016-08-14 17:26:32.422,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,0a4a1465-6f45-4f07-9da2-6c57508c662f,0a4a1465-6f45-4f07-9da2-6c57508c662f.compressed_content.json,
America/Sao_Paulo,1463886000000,2016-11-18 14:13:54.899,2016-05-29 16:33:56.265,0,1,1,f1/7zwjou1,X,com.sec.android.app.shealth,b4bfe3b1-859a-4b75-8e99-631da0d7b30e,b4bfe3b1-859a-4b75-8e99-631da0d7b30e.compressed_content.json,
America/Sao_Paulo,1500778800000,2017-07-30 17:30:34.224,2017-07-30 17:29:36.441,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,332f4d1f-9d35-4f0c-ae8e-dea69285bd25,332f4d1f-9d35-4f0c-ae8e-dea69285bd25.compressed_content.json,
America/Sao_Paulo,1497754800000,2017-06-25 17:30:35.007,2017-06-25 17:29:37.926,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,a953bef4-944e-494b-a793-6884c8b958f4,a953bef4-944e-494b-a793-6884c8b958f4.compressed_content.json,
America/Sao_Paulo,1497150000000,2017-06-18 17:30:33.030,2017-06-18 17:29:33.128,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,6b827d98-017c-4fe3-882f-defab5f6998c,6b827d98-017c-4fe3-882f-defab5f6998c.compressed_content.json,
America/Sao_Paulo,1511661600000,2017-12-04 16:29:33.273,2017-12-03 16:29:56.813,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,4ce4ce4a-ebba-4aed-b240-dd7947d76b69,4ce4ce4a-ebba-4aed-b240-dd7947d76b69.compressed_content.json,
America/Sao_Paulo,1527390000000,2018-06-07 17:30:59.331,2018-06-03 17:31:04.778,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,50c0f8d9-6f88-4ccd-b672-06facc075a66,50c0f8d9-6f88-4ccd-b672-06facc075a66.compressed_content.json,
America/Sao_Paulo,1505617200000,2017-09-24 17:31:13.447,2017-09-24 17:29:35.902,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,e9299edf-2941-4adb-b667-d239eeb3768f,e9299edf-2941-4adb-b667-d239eeb3768f.compressed_content.json,
America/Sao_Paulo,1520132400000,2018-03-11 17:31:13.542,2018-03-11 17:31:12.328,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,28c46578-f1d3-45b2-b543-db522c847eeb,28c46578-f1d3-45b2-b543-db522c847eeb.compressed_content.json,
America/Sao_Paulo,1492311600000,2017-04-24 17:30:01.462,2017-04-23 17:30:00.412,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,ebacd17e-a998-4834-ba5e-55d81e6af31f,ebacd17e-a998-4834-ba5e-55d81e6af31f.compressed_content.json,
