com.samsung.shealth.tracker.pedometer_day_summary,6233003,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1424,04ef22f7-f142-4711-9f8e-71afc6ebc813.binning_data.json,812544,5000,44,2016-03-06 03:00:07.000,com.sec.android.app.shealth,2016-03-05 15:00:06.730,,1.6781673,991.1311,45.449997,1380,f1/7zwjou1,com.sec.android.app.shealth,0,04ef22f7-f142-4711-9f8e-71afc6ebc813.achievement.json,04ef22f7-f142-4711-9f8e-71afc6ebc813,1457136000000,
6720,b3552613-9972-4b9c-85f3-41940441debc.binning_data.json,0,0,24,2016-03-23 19:34:59.619,com.sec.android.app.shealth,2016-03-23 19:34:59.619,,0.0,4485.2334,205.51001,6696,VfS0qUERdZ,com.sec.android.app.shealth,0,b3552613-9972-4b9c-85f3-41940441debc.achievement.json,b3552613-9972-4b9c-85f3-41940441debc,1421625600000,
299,cf30ce0d-9190-4fba-8605-e6d933b176fb.binning_data.json,0,0,16,2016-03-23 19:34:56.901,com.sec.android.app.shealth,2016-03-23 19:34:56.901,,0.0,189.92668,9.860004,283,VfS0qUERdZ,com.sec.android.app.shealth,0,cf30ce0d-9190-4fba-8605-e6d933b176fb.achievement.json,cf30ce0d-9190-4fba-8605-e6d933b176fb,1419552000000,
8810,1011b329-3fe9-40e2-99a0-6ab69b8e3d4d.binning_data.json,5598784,5000,374,2016-03-16 03:04:37.072,com.sec.android.app.shealth,2016-03-16 03:04:37.072,,3.8699052,5821.149,288.55,8436,f1/7zwjou1,com.sec.android.app.shealth,0,1011b329-3fe9-40e2-99a0-6ab69b8e3d4d.achievement.json,1011b329-3fe9-40e2-99a0-6ab69b8e3d4d,1458000000000,
9191,e77762b3-a32e-482c-b7bc-e2b4c0283365.binning_data.json,0,0,147,2016-03-23 19:35:37.016,com.sec.android.app.shealth,2016-03-23 19:35:37.016,,0.0,5913.46,286.63,9044,VfS0qUERdZ,com.sec.android.app.shealth,0,e77762b3-a32e-482c-b7bc-e2b4c0283365.achievement.json,e77762b3-a32e-482c-b7bc-e2b4c0283365,1433462400000,
7848,edae56c4-95f3-4887-8b3c-a89626459156.binning_data.json,5237769,0,186,2016-03-23 19:36:26.641,com.sec.android.app.shealth,2016-03-23 19:36:26.641,,6.2748113,4928.9106,246.13998,7662,VfS0qUERdZ,com.sec.android.app.shealth,0,edae56c4-95f3-4887-8b3c-a89626459156.achievement.json,edae56c4-95f3-4887-8b3c-a89626459156,1445040000000,
5179,7f6db02e-8585-42af-816e-6f2977e7769c.binning_data.json,0,0,57,2016-03-23 19:35:30.292,com.sec.android.app.shealth,2016-03-23 19:35:30.292,,0.0,3372.5728,158.90999,5122,VfS0qUERdZ,com.sec.android.app.shealth,0,7f6db02e-8585-42af-816e-6f2977e7769c.achievement.json,7f6db02e-8585-42af-816e-6f2977e7769c,1431043200000,
6871,f7b122d7-f031-4ece-9b9c-629fdc5d24df.binning_data.json,4219774,5000,153,2016-02-17 02:02:27.165,com.sec.android.app.shealth,2016-02-16 14:02:03.544,,3.2457387,4586.0576,218.76999,6718,f1/7zwjou1,com.sec.android.app.shealth,0,f7b122d7-f031-4ece-9b9c-629fdc5d24df.achievement.json,f7b122d7-f031-4ece-9b9c-629fdc5d24df,1455580800000,
13721,9333e58b-879f-4d76-9dc1-881b3af05cb9.binning_data.json,8192265,0,346,2016-03-23 19:37:42.815,com.sec.android.app.shealth,2016-03-23 19:37:42.815,,2.2160995,9146.897,429.61996,13375,VfS0qUERdZ,com.sec.android.app.shealth,0,9333e58b-879f-4d76-9dc1-881b3af05cb9.achievement.json,9333e58b-879f-4d76-9dc1-881b3af05cb9,1455840000000,
5045,b1212f67-4247-4387-b418-03e1ac0cfa76.binning_data.json,0,0,231,2016-03-23 19:35:10.367,com.sec.android.app.shealth,2016-03-23 19:35:10.367,,0.0,3455.489,166.61,4814,VfS0qUERdZ,com.sec.android.app.shealth,0,b1212f67-4247-4387-b418-03e1ac0cfa76.achievement.json,b1212f67-4247-4387-b418-03e1ac0cfa76,1425081600000,
1700,c4149bf2-1e5b-4894-85ba-96ef6c04b716.binning_data.json,0,0,57,2016-03-23 19:35:02.539,com.sec.android.app.shealth,2016-03-23 19:35:02.539,,0.0,1177.5681,54.739998,1643,VfS0qUERdZ,com.sec.android.app.shealth,0,c4149bf2-1e5b-4894-85ba-96ef6c04b716.achievement.json,c4149bf2-1e5b-4894-85ba-96ef6c04b716,1422403200000,
5036,7ac9dd8a-3c7a-4491-8de7-5cbc19548b28.binning_data.json,0,0,176,2016-03-23 19:35:33.598,com.sec.android.app.shealth,2016-03-23 19:35:33.598,,0.0,3325.8843,160.93,4860,VfS0qUERdZ,com.sec.android.app.shealth,0,7ac9dd8a-3c7a-4491-8de7-5cbc19548b28.achievement.json,7ac9dd8a-3c7a-4491-8de7-5cbc19548b28,1432425600000,
5729,55c666f8-ca28-4bd2-bf5d-705f42ce97f4.binning_data.json,106282,0,213,2016-03-23 19:35:46.797,com.sec.android.app.shealth,2016-03-23 19:35:46.797,,1.8596634,3916.62,185.17,5516,VfS0qUERdZ,com.sec.android.app.shealth,0,55c666f8-ca28-4bd2-bf5d-705f42ce97f4.achievement.json,55c666f8-ca28-4bd2-bf5d-705f42ce97f4,1436400000000,
6431,fcd32b32-23e8-4ab9-b297-ebc467eb501c.binning_data.json,3952259,0,188,2016-03-23 19:36:02.223,com.sec.android.app.shealth,2016-03-23 19:36:02.223,,9.770195,4354.854,208.68999,6243,VfS0qUERdZ,com.sec.android.app.shealth,0,fcd32b32-23e8-4ab9-b297-ebc467eb501c.achievement.json,fcd32b32-23e8-4ab9-b297-ebc467eb501c,1441065600000,
8464,33518c7a-035e-4a78-b047-1f98c00230da.binning_data.json,0,0,142,2016-03-23 19:35:21.707,com.sec.android.app.shealth,2016-03-23 19:35:21.707,,0.0,5711.824,266.21,8322,VfS0qUERdZ,com.sec.android.app.shealth,0,33518c7a-035e-4a78-b047-1f98c00230da.achievement.json,33518c7a-035e-4a78-b047-1f98c00230da,1428451200000,
6509,f658a89a-34a2-4806-a795-2b10bf520321.binning_data.json,3703049,0,185,2016-03-23 19:37:02.469,com.sec.android.app.shealth,2016-03-23 19:37:02.469,,3.9234457,4623.0005,214.63998,6324,VfS0qUERdZ,com.sec.android.app.shealth,0,f658a89a-34a2-4806-a795-2b10bf520321.achievement.json,f658a89a-34a2-4806-a795-2b10bf520321,1450224000000,
6112,35f7be9d-00db-4518-b891-a3fb7d4f882a.binning_data.json,3719618,5000,169,2016-03-11 03:08:36.826,com.sec.android.app.shealth,2016-03-10 15:00:08.966,,4.594507,4032.1917,193.87999,5943,f1/7zwjou1,com.sec.android.app.shealth,0,35f7be9d-00db-4518-b891-a3fb7d4f882a.achievement.json,35f7be9d-00db-4518-b891-a3fb7d4f882a,1457568000000,
6817,3ce8d607-0f4c-41cd-9c8e-f7c3bdbbbd95.binning_data.json,4096756,0,151,2016-03-23 19:36:00.685,com.sec.android.app.shealth,2016-03-23 19:36:00.685,,3.9014583,4591.456,216.09999,6666,VfS0qUERdZ,com.sec.android.app.shealth,0,3ce8d607-0f4c-41cd-9c8e-f7c3bdbbbd95.achievement.json,3ce8d607-0f4c-41cd-9c8e-f7c3bdbbbd95,1440633600000,
5916,9b291a35-69ca-4f33-bbb2-37b1cb665064.binning_data.json,3507168,0,286,2016-03-23 19:37:14.491,com.sec.android.app.shealth,2016-03-23 19:37:14.491,,3.7961068,4009.7168,192.79999,5630,VfS0qUERdZ,com.sec.android.app.shealth,0,9b291a35-69ca-4f33-bbb2-37b1cb665064.achievement.json,9b291a35-69ca-4f33-bbb2-37b1cb665064,1452297600000,
8294,ae224a96-5ce4-4e10-b787-c39b6a1ae4f5.binning_data.json,5243187,0,139,2016-03-23 19:36:00.088,com.sec.android.app.shealth,2016-03-23 19:36:00.088,,6.016527,5432.2266,258.81998,8155,VfS0qUERdZ,com.sec.android.app.shealth,0,ae224a96-5ce4-4e10-b787-c39b6a1ae4f5.achievement.json,ae224a96-5ce4-4e10-b787-c39b6a1ae4f5,1440460800000,
16025,14396d6f-d4bc-4b63-bdeb-00d373bf07b3.binning_data.json,9979332,5000,646,2016-03-04 03:01:12.268,com.sec.android.app.shealth,2016-03-03 15:04:14.449,,6.604264,10439.636,514.41,15379,f1/7zwjou1,com.sec.android.app.shealth,0,14396d6f-d4bc-4b63-bdeb-00d373bf07b3.achievement.json,14396d6f-d4bc-4b63-bdeb-00d373bf07b3,1456963200000,
16025,9b65143b-66ad-4da3-91bd-09debf01f25a.binning_data.json,9979332,0,646,2016-03-23 19:37:51.353,com.sec.android.app.shealth,2016-03-23 19:37:51.353,,6.604264,10439.636,514.41,15379,VfS0qUERdZ,com.sec.android.app.shealth,0,9b65143b-66ad-4da3-91bd-09debf01f25a.achievement.json,9b65143b-66ad-4da3-91bd-09debf01f25a,1456963200000,
9039,7173a46c-0064-4232-974b-0624328c84c2.binning_data.json,5096777,0,445,2016-03-23 19:36:39.999,com.sec.android.app.shealth,2016-03-23 19:36:39.999,,2.6778126,6286.467,298.4,8594,VfS0qUERdZ,com.sec.android.app.shealth,0,7173a46c-0064-4232-974b-0624328c84c2.achievement.json,7173a46c-0064-4232-974b-0624328c84c2,1447027200000,
5281,9c3362ff-27fe-455d-a9ce-ce8f60f72b6b.binning_data.json,0,0,163,2016-03-23 19:34:58.472,com.sec.android.app.shealth,2016-03-23 19:34:58.472,,0.0,3619.5312,168.43997,5118,VfS0qUERdZ,com.sec.android.app.shealth,0,9c3362ff-27fe-455d-a9ce-ce8f60f72b6b.achievement.json,9c3362ff-27fe-455d-a9ce-ce8f60f72b6b,1421193600000,
6909,5324eba2-cbf8-4e9f-b55d-eda0c3cf9bf4.binning_data.json,0,0,94,2016-03-23 19:35:38.368,com.sec.android.app.shealth,2016-03-23 19:35:38.368,,0.0,4715.7275,215.53998,6815,VfS0qUERdZ,com.sec.android.app.shealth,0,5324eba2-cbf8-4e9f-b55d-eda0c3cf9bf4.achievement.json,5324eba2-cbf8-4e9f-b55d-eda0c3cf9bf4,1433808000000,
9254,da7cc08f-e402-424f-8158-b389c3bbcbe1.binning_data.json,0,0,97,2016-03-23 19:35:09.569,com.sec.android.app.shealth,2016-03-23 19:35:09.569,,0.0,6205.775,284.3901,9157,VfS0qUERdZ,com.sec.android.app.shealth,0,da7cc08f-e402-424f-8158-b389c3bbcbe1.achievement.json,da7cc08f-e402-424f-8158-b389c3bbcbe1,1424822400000,
3870,596f659b-61f1-4294-8bed-c046a8e866cd.binning_data.json,2407578,0,199,2016-03-23 19:36:08.103,com.sec.android.app.shealth,2016-03-23 19:36:08.103,,1.8293661,2577.8535,127.34999,3671,VfS0qUERdZ,com.sec.android.app.shealth,0,596f659b-61f1-4294-8bed-c046a8e866cd.achievement.json,596f659b-61f1-4294-8bed-c046a8e866cd,1442620800000,
5986,91e2d3e8-ac24-491d-9fe6-bef1d0048267.binning_data.json,3373528,0,499,2016-03-23 19:36:26.078,com.sec.android.app.shealth,2016-03-23 19:36:26.078,,2.1249058,4247.556,206.02,5487,VfS0qUERdZ,com.sec.android.app.shealth,0,91e2d3e8-ac24-491d-9fe6-bef1d0048267.achievement.json,91e2d3e8-ac24-491d-9fe6-bef1d0048267,1444953600000,
3567,1b0759c5-ac24-4f00-9bba-2baeef757d9f.binning_data.json,0,0,133,2016-03-23 19:35:39.323,com.sec.android.app.shealth,2016-03-23 19:35:39.323,,0.0,2351.0742,114.08,3434,VfS0qUERdZ,com.sec.android.app.shealth,0,1b0759c5-ac24-4f00-9bba-2baeef757d9f.achievement.json,1b0759c5-ac24-4f00-9bba-2baeef757d9f,1434153600000,
4364,6264cc49-ffa7-40cb-9910-0ea0daa7c302.binning_data.json,0,0,45,2016-03-23 19:35:07.547,com.sec.android.app.shealth,2016-03-23 19:35:07.547,,0.0,2858.7004,133.38,4319,VfS0qUERdZ,com.sec.android.app.shealth,0,6264cc49-ffa7-40cb-9910-0ea0daa7c302.achievement.json,6264cc49-ffa7-40cb-9910-0ea0daa7c302,1424217600000,
5904,9a3027ed-c53b-4234-b5a2-beb760101d40.binning_data.json,3489640,5000,187,2016-03-24 03:01:34.524,com.sec.android.app.shealth,2016-03-23 15:00:38.274,,2.3963845,4003.1597,188.45999,5717,f1/7zwjou1,com.sec.android.app.shealth,0,9a3027ed-c53b-4234-b5a2-beb760101d40.achievement.json,9a3027ed-c53b-4234-b5a2-beb760101d40,1458691200000,
6821,9708b83e-f5dd-42ee-9163-96f9412005f1.binning_data.json,4178949,5000,225,2016-03-12 03:08:57.502,com.sec.android.app.shealth,2016-03-11 15:15:04.183,,4.9046774,4527.0835,215.77998,6596,f1/7zwjou1,com.sec.android.app.shealth,0,9708b83e-f5dd-42ee-9163-96f9412005f1.achievement.json,9708b83e-f5dd-42ee-9163-96f9412005f1,1457654400000,
7468,d9acfaf2-30b0-4bee-a0ad-8ae54330929c.binning_data.json,4718924,0,56,2016-03-23 19:36:34.134,com.sec.android.app.shealth,2016-03-23 19:36:34.134,,2.2589421,4736.2827,229.10999,7412,VfS0qUERdZ,com.sec.android.app.shealth,0,d9acfaf2-30b0-4bee-a0ad-8ae54330929c.achievement.json,d9acfaf2-30b0-4bee-a0ad-8ae54330929c,1446163200000,
4515,75a94dff-1dcb-4468-945d-1268bb89a545.binning_data.json,0,0,44,2016-03-23 19:35:30.101,com.sec.android.app.shealth,2016-03-23 19:35:30.101,,0.0,2962.062,139.28,4471,VfS0qUERdZ,com.sec.android.app.shealth,0,75a94dff-1dcb-4468-945d-1268bb89a545.achievement.json,75a94dff-1dcb-4468-945d-1268bb89a545,1430956800000,
6309,2593dbdf-3f9c-484c-bcb1-772161dd86ea.binning_data.json,0,0,137,2016-03-23 19:35:23.373,com.sec.android.app.shealth,2016-03-23 19:35:23.373,,0.0,4319.4565,199.40002,6172,VfS0qUERdZ,com.sec.android.app.shealth,0,2593dbdf-3f9c-484c-bcb1-772161dd86ea.achievement.json,2593dbdf-3f9c-484c-bcb1-772161dd86ea,1429056000000,
10569,87b704eb-bf0a-4c44-b847-a701288948c1.binning_data.json,6022721,0,293,2016-03-23 19:36:41.296,com.sec.android.app.shealth,2016-03-23 19:36:41.296,,4.782137,7317.593,334.40997,10276,VfS0qUERdZ,com.sec.android.app.shealth,0,87b704eb-bf0a-4c44-b847-a701288948c1.achievement.json,87b704eb-bf0a-4c44-b847-a701288948c1,1447200000000,
