com.samsung.shealth.tracker.pedometer_event,6233003,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2022-06-22 23:00:02.000,2022-06-22 23:11:35.000,2022-06-22 23:11:35.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1036,2022-06-22 23:11:35.000,3b5ead28-ef7c-04bf-d48f-dd8c5bceee15,
2021-01-08 11:38:59.998,2021-01-08 12:07:48.942,2021-01-08 11:49:01.122,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,4002,2021-01-08 12:07:47.889,5e1880d0-c264-487a-af28-e5d7c516c2ad,
2019-08-23 16:39:48.846,2019-08-23 17:17:02.132,2019-08-23 16:49:56.916,1,UTC-0300,zjIwstRrv1,com.sec.android.app.shealth,3265,2019-08-23 17:11:36.826,3d372ffb-6d2e-4548-9039-3df534d19d1a,
2022-02-07 22:09:37.000,2022-02-07 22:23:46.000,2022-02-07 22:23:46.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1270,2022-02-07 22:23:46.000,b07695e9-98e6-eb93-83e5-bca6d015631d,
2022-05-13 14:12:19.000,2022-05-13 14:25:37.000,2022-05-13 14:25:37.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1093,2022-05-13 14:25:37.000,f1edad6c-7777-6c32-bf82-4c2743076458,
2020-02-12 17:42:57.720,2020-02-12 17:53:31.684,2020-02-12 17:52:58.685,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,1104,2020-02-12 17:53:29.983,e6053fcd-6024-4198-bcbe-86b75952ba87,
2022-05-03 20:02:17.000,2022-05-03 20:14:57.000,2022-05-03 20:14:57.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1179,2022-05-03 20:14:57.000,8766fb1b-654a-5f11-f0c9-8d64e282fe23,
2022-06-26 18:27:34.000,2022-06-26 19:17:53.000,2022-06-26 19:17:53.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,4689,2022-06-26 19:17:53.000,42c8e64f-7cfb-657d-e972-6126b28f8996,
2022-06-23 22:01:00.000,2022-06-23 22:15:13.000,2022-06-23 22:15:13.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1160,2022-06-23 22:15:13.000,bbfe7bc7-1d84-a0ec-ca4a-e012f35ec6bc,
2022-03-25 15:06:48.000,2022-03-25 15:22:22.000,2022-03-25 15:22:22.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1461,2022-03-25 15:22:22.000,83cf2cd5-2a54-12cf-05a5-8f745a203c09,
2020-02-26 16:17:12.295,2020-02-26 16:33:00.133,2020-02-26 16:27:37.103,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,1334,2020-02-26 16:32:35.089,2cef60c2-983f-4866-845a-c56bee03f552,
2021-11-30 20:49:37.000,2021-11-30 21:04:51.000,2021-11-30 21:04:51.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1298,2021-11-30 21:04:51.000,2ff7e6d9-30ff-c5b7-a7cb-ab4161d1f071,
2021-07-24 13:19:32.000,2021-07-24 13:33:06.000,2021-07-24 13:33:06.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1269,2021-07-24 13:33:06.000,b07100e2-0477-c3d5-e1ff-084387afa2c9,
2022-05-09 03:23:37.000,2022-05-09 03:37:01.000,2022-05-09 03:37:01.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,966,2022-05-09 03:37:01.000,560b30fa-3cf4-1fa4-4115-89baed4d25ad,
